time_step,recovery,pressure,energy_consumption,permeate,price_signal,lmp_signal,carbon_intensity
0,0.5624582148408723,5362934.877106837,3.994022218991653,1.8036259720068262,0.07812746,0.07812746,0.150364194
1,0.5624573514365283,5362938.829292312,3.9940363896209177,1.8036297550160312,0.07143322,0.07143322,0.167070597
2,0.562457209054402,5362939.618364461,3.9940390817380056,1.8036304902828304,0.07037835,0.07037835,0.229242663
3,0.5624569438284683,5362941.225743667,3.99404445230625,1.8036319714921631,0.06843861,0.06843861,0.263252103
4,0.5624568910370106,5362941.569755188,3.9940455835612507,1.8036322858488945,0.06805564,0.06805564,0.264372993
5,0.5624580343963523,5362935.603693375,3.9940249234155396,1.8036266819866928,0.07667838,0.07667838,0.254632504
6,0.5624626241256397,5362925.178399108,3.993976975764353,1.8036151593423995,0.1307471,0.1307471,0.252251551
7,0.5624575568303475,5362937.769240525,3.9940327084755354,1.8036287578236156,0.07297565,0.07297565,0.254635993
8,0.5624554317958022,5362957.83462689,3.9940943309799612,1.8036464565005597,0.0570372,0.0570372,0.24170863
9,0.6855417129800395,7799228.271716012,11.117143788190953,3.6822649076038005,0.02324438,0.02324438,0.22316321
10,0.6922002432769969,7997465.355774571,11.841453146072846,3.8361260137409268,0.02203889,0.02203889,0.205481597
11,0.626915967848049,6407961.893757064,6.646562529363362,2.6053765499574926,0.02941204,0.02941204,0.213264699
12,0.5624557926248112,5363011.326432921,3.9942310681404862,1.803689615931997,0.0465257,0.0465257,0.228818221
13,0.5624552993851086,5362961.081960053,3.994103337172898,1.803649179610621,0.05575363,0.05575363,0.238588112
14,0.5624568431439599,5362941.88948951,3.9940466296220847,1.803632577238174,0.0677089,0.0677089,0.16426744
15,0.5624576316167262,5362937.40410984,3.9940314220582653,1.8036284116479482,0.07354409,0.07354409,0.139526512
16,0.5624582979906121,5362934.557010989,3.994021010858135,1.8036256567866746,0.0788056,0.0788056,0.131587227
17,0.5624579057268644,5362936.150457259,3.9940269259955192,1.8036272115026395,0.07566285,0.07566285,0.128189734
18,0.5624583066554479,5362934.524163895,3.9940208862790887,1.8036256243515798,0.07887666,0.07887666,0.129043109
19,0.5624605015485907,5362928.454867588,3.9939951531424462,1.8036192347257085,0.10009111,0.10009111,0.136869374
20,0.5624618118618766,5362926.229382834,3.993983407060995,1.8036165543199927,0.1173255,0.1173255,0.143597945
21,0.5624621823689506,5362925.723262038,3.9939804043441165,1.8036158963306554,0.12313344,0.12313344,0.143917708
22,0.5624626566211486,5362925.140664961,3.993976729627803,1.8036151070330375,0.13134,0.13134,0.161160406
23,0.5624602070601197,5362929.068158655,3.993998085687035,1.803619928918736,0.09678444,0.09678444,0.164583703
